id,slug,url,wordpress_title,browser_title,modified,word_count,h1_count,h1,h2_count,h2,cta_count,ctas,form_ids,image_count,images_missing_alt,meta_description
865,home,https://www.roadsafe.co.za/,Home,Roadsafe – Informing the Motorist,2026-02-24T17:28:09,592,0,"",20,Welcome to Roadsafe | Reliable Traffic Safety Equipment | happy clients | Equipment We Supply | Variable Message Signs | Solar Light Tower | Traffic Control Units | Warning Lights | How it Works | Testimonials | Meet the roadsafe team | Nick De Villiers | Director | Andre Fortuin | Head Technician | Contact us | FAQS | What types of traffic control equipment do you offer for rent? | Can I customize the rental duration for the equipment? | Do you provide maintenance support for rented equipment?,6,View Our Products -> https://www.roadsafe.co.za/#products | More Info -> https://www.roadsafe.co.za/vms/ | View All Variants -> https://www.roadsafe.co.za/speed-radars/ | More Info -> https://www.roadsafe.co.za/solar-light-tower/ | More Info -> https://www.roadsafe.co.za/tcu/ | View all variants -> https://www.roadsafe.co.za/lights/,956 | 895,13,13,""
1011,contact-us,https://www.roadsafe.co.za/contact-us/,Contact Us,Contact Us – Roadsafe,2024-07-19T13:13:48,11,0,"",3,Contact Us | Home | Contact us,0,"",956,1,1,""
1028,get-a-quote,https://www.roadsafe.co.za/get-a-quote/,Get A Quote,Get A Quote – Roadsafe,2024-11-25T15:54:31,13,0,"",3,Get A Quote | Home | Get A Quote,0,"",1030,1,1,""
1053,vms,https://www.roadsafe.co.za/vms/,VMS,VMS – Roadsafe,2026-02-24T18:25:25,177,0,"",9,Variable Message Signs (VMS) | Home | Equipment | Variable Message Signs | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Variable Message Signs | (4.9),2,Take Me There -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://drive.google.com/file/d/1fNf3bnpV0GgDWT8TT05OmtGptuZD_QK6/view?usp=sharing,"",0,0,""
1069,tcu,https://www.roadsafe.co.za/tcu/,TCU,TCU – Roadsafe,2026-02-24T18:26:54,78,0,"",9,Traffic Control Unit (TCU) | Home | Equipment | Traffic Control Unit (TCU) | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Traffic Control Unit | (4.9),2,Take Me there -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://drive.google.com/file/d/1MVFSfZ70GKSEonMP_YDqUmbNvh1SMiAL/view?usp=drive_link,"",0,0,""
1079,speed-radars,https://www.roadsafe.co.za/speed-radars/,Speed Radars,Speed Radars – Roadsafe,2026-02-24T17:24:18,48,0,"",8,Vehicle Activated Speed Radars | Home | Vehicle Activated Speed Radars | Emotional Speed Sentinal | Compact Speed Gaurdian | Advanced Speed Watcher | Dummy Speed Camera | Basic Speed Spy,5,More INfo -> https://www.roadsafe.co.za/classic-vasr/ | More Info -> https://www.roadsafe.co.za/compact-vasr/ | More Info -> https://www.roadsafe.co.za/advanced-vasr/ | More Info -> https://www.roadsafe.co.za/advanced-vasr/ | More Info -> https://www.roadsafe.co.za/advanced-vasr/,"",0,0,""
1088,classic-vasr,https://www.roadsafe.co.za/classic-vasr/,Classic VASR,Classic VASR – Roadsafe,2026-02-24T18:29:40,62,0,"",9,Emotional Speed Sentinel | Home | Speed Radars | Emotional Speed Sentinel | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Emotional Speed Sentinel | (4.9),2,Take Me There -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,"",0,0,""
1096,compact-vasr,https://www.roadsafe.co.za/compact-vasr/,Compact VASR,Compact VASR – Roadsafe,2025-05-01T15:40:40,55,0,"",9,Compact Speed Guardian | Home | Speed Radars | Compact | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Compact Speed Guardian | (4.9),2,Take me there -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,"",0,0,""
1101,advanced-vasr,https://www.roadsafe.co.za/advanced-vasr/,Advanced VASR,Advanced VASR – Roadsafe,2025-05-01T15:36:22,61,0,"",9,Advanced Speed Watcher | Home | Speed Radars | Advanced | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Advanced Speed Watcher | (4.9),2,Take Me There -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,"",0,0,""
1132,road-stud,https://www.roadsafe.co.za/road-stud/,Road Stud,Road Stud – Roadsafe,2024-07-19T12:25:08,121,0,"",8,Solar Road Stud | Home | Lights | Road Stud | Get A Quote | You might be interested in.. | Solar Road Stud | (4.9),1,Take ME there -> https://www.roadsafe.co.za/get-a-quote/,"",0,0,""
1137,wand-light,https://www.roadsafe.co.za/wand-light/,Wand Light,Wand Light – Roadsafe,2024-07-19T12:27:11,106,0,"",8,Traffic Wand Light | Home | Lights | Wand Light | Get A Quote | You might be interested in.. | Traffic Wand Light | (4.9),1,take me there -> https://www.roadsafe.co.za/get-a-quote/,"",0,0,""
1142,warning-light,https://www.roadsafe.co.za/warning-light/,Warning Light,Warning Light – Roadsafe,2024-07-19T12:27:48,103,0,"",8,Solar Warning Light | Home | Lights | Warning Light | Get A Quote | You might be interested in.. | Solar Warning Light | (4.9),1,Take Me There -> https://www.roadsafe.co.za/get-a-quote/,"",0,0,""
1147,beacon-light,https://www.roadsafe.co.za/beacon-light/,Beacon Light,Beacon Light – Roadsafe,2024-07-19T12:23:54,95,0,"",8,Beacon Light | Home | Lights | beacon light | Get A Quote | You might be interested in.. | Beacon Light | (4.9),1,Take Me There -> https://www.roadsafe.co.za/get-a-quote/,"",0,0,""
1210,lights,https://www.roadsafe.co.za/lights/,Lights,Lights – Roadsafe,2024-07-19T12:34:55,40,0,"",9,Warning Lights | Home | Warning Light Selection | Solar Road Stud | Warning Light | Beacon Light | Half Moon Road Stud | Double Arrow Light | Wand Light,6,Get A Quote -> https://www.roadsafe.co.za/road-stud/ | Get A Quote -> https://www.roadsafe.co.za/warning-light/ | Get A Quote -> https://www.roadsafe.co.za/beacon-light/ | Get A Quote -> https://www.roadsafe.co.za/half-moon/ | Get A Quote -> https://www.roadsafe.co.za/arrow-warning/ | Get A Quote -> https://www.roadsafe.co.za/wand-light/,"",0,0,""
1233,arrow-warning,https://www.roadsafe.co.za/arrow-warning/,Arrow Warning Light Board,Arrow Warning Light Board – Roadsafe,2024-07-19T12:31:03,116,0,"",8,Arrow Warning Light Board | Home | Lights | Arrow Warning Light Board | Get A Quote | You might be interested in.. | Arrow Warning Light Board | (4.9),1,Take Me There -> https://www.roadsafe.co.za/get-a-quote/,"",0,0,""
1242,half-moon,https://www.roadsafe.co.za/half-moon/,Half Moon Road Stud,Half Moon Road Stud – Roadsafe,2024-07-19T12:32:59,113,0,"",8,Half Moon Road Stud | Home | Lights | Half Moon Road Stud | Get A Quote | You might be interested in.. | Half Moon Road Stud | (4.9),1,Take Me There -> https://www.roadsafe.co.za/get-a-quote/,"",0,0,""
1357,solar-light-tower,https://www.roadsafe.co.za/solar-light-tower/,Solar Light Tower,Solar Light Tower – Roadsafe,2026-02-24T17:19:53,144,0,"",9,Solar Light Tower | Home | Equipment | Solar Light Tower | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Solar Light Tower | (4.7),2,Take Me There -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://drive.google.com/file/d/1xQw9euk3I3u05vsSEvOzmQse8xFjdYnJ/view?usp=sharing,"",0,0,""
1379,basic-vasr,https://www.roadsafe.co.za/basic-vasr/,Basic VASR,Basic VASR – Roadsafe,2025-05-01T15:41:45,57,0,"",9,Basic Speed Spy | Home | Speed Radars | Advanced | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Basic Speed Spy | (4.9),2,Take Me There -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://docs.google.com/document/d/1rqiwWDryNkjxdIL2VE7EbemYMy1vz7V0/edit?usp=sharing&ouid=106723960608208770754&rtpof=true&sd=true,"",0,0,""
1497,emotional-vasr,https://www.roadsafe.co.za/emotional-vasr/,Emotional VASR,Emotional VASR – Roadsafe,2026-02-24T17:32:11,78,0,"",9,Dummy Speed Camera (With Flash) | Home | Speed Radars | Dummy speed camera | Get A Quote | You might be interested in.. | Click For Detailed Specifications | Dummy Speed Camera (With Flash) | (4.9),2,Take Me There -> https://www.roadsafe.co.za/get-a-quote/ | Click For Detailed Specifications -> https://drive.google.com/file/d/1jU04z6oibFigoeQY6NI38-gR15hLFKOO/view?usp=sharing,"",0,0,""
